Position,Track Name,Artist,Streams,URL,es_hit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1,Mamichula - con Nicki Nicole,Trueno,3120974,4pXW6ZAHBz7ODXTRKklWrM,1,0.696,0.678,4,-5.893,0,0.0735,0.582,2.22e-06,0.134,0.346,91.985,audio_features,4pXW6ZAHBz7ODXTRKklWrM,spotify:track:4pXW6ZAHBz7ODXTRKklWrM,https://api.spotify.com/v1/tracks/4pXW6ZAHBz7ODXTRKklWrM,https://api.spotify.com/v1/audio-analysis/4pXW6ZAHBz7ODXTRKklWrM,219202,4
1,L-Gante Rkt,Papu DJ,2702322,6EHrppRT1Uj4cyShAujxFu,1,0.832,0.652,7,-4.95,1,0.354,0.359,0.0,0.492,0.559,176.013,audio_features,6EHrppRT1Uj4cyShAujxFu,spotify:track:6EHrppRT1Uj4cyShAujxFu,https://api.spotify.com/v1/tracks/6EHrppRT1Uj4cyShAujxFu,https://api.spotify.com/v1/audio-analysis/6EHrppRT1Uj4cyShAujxFu,182053,4
1,Todo De Ti,Rauw Alejandro,4372773,4fSIb4hdOQ151TILNsSEaF,1,0.78,0.718,3,-3.605,0,0.0506,0.31,0.000163,0.0932,0.342,127.949,audio_features,4fSIb4hdOQ151TILNsSEaF,spotify:track:4fSIb4hdOQ151TILNsSEaF,https://api.spotify.com/v1/tracks/4fSIb4hdOQ151TILNsSEaF,https://api.spotify.com/v1/audio-analysis/4fSIb4hdOQ151TILNsSEaF,199604,4
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,2174416,4aWmUDTfIPGksMNLV2rQP2,1,0.66,0.786,2,-4.757,1,0.17,0.209,0.0,0.112,0.846,177.833,audio_features,4aWmUDTfIPGksMNLV2rQP2,spotify:track:4aWmUDTfIPGksMNLV2rQP2,https://api.spotify.com/v1/tracks/4aWmUDTfIPGksMNLV2rQP2,https://api.spotify.com/v1/audio-analysis/4aWmUDTfIPGksMNLV2rQP2,228200,4
1,2:50 Remix,MYA,3774689,74znaWw1hmQBusGPSOuTFy,1,0.818,0.812,9,-4.425,1,0.0475,0.112,0.0,0.234,0.844,139.966,audio_features,74znaWw1hmQBusGPSOuTFy,spotify:track:74znaWw1hmQBusGPSOuTFy,https://api.spotify.com/v1/tracks/74znaWw1hmQBusGPSOuTFy,https://api.spotify.com/v1/audio-analysis/74znaWw1hmQBusGPSOuTFy,231708,4
1,"Nicky Jam: Bzrp Music Sessions, Vol. 41",Bizarrap,4704707,03LfOYi0icz4souspZVVhq,1,0.627,0.849,1,-3.167,0,0.153,0.0913,0.0,0.145,0.818,89.907,audio_features,03LfOYi0icz4souspZVVhq,spotify:track:03LfOYi0icz4souspZVVhq,https://api.spotify.com/v1/tracks/03LfOYi0icz4souspZVVhq,https://api.spotify.com/v1/audio-analysis/03LfOYi0icz4souspZVVhq,158087,4
1,Entre Nosotros,Tiago PZK,3477691,6w8yBI2vthyN9UnwO4UBWb,1,0.729,0.513,5,-6.345,0,0.0455,0.494,1.1e-06,0.137,0.789,170.064,audio_features,6w8yBI2vthyN9UnwO4UBWb,spotify:track:6w8yBI2vthyN9UnwO4UBWb,https://api.spotify.com/v1/tracks/6w8yBI2vthyN9UnwO4UBWb,https://api.spotify.com/v1/audio-analysis/6w8yBI2vthyN9UnwO4UBWb,192353,3
1,Wow Wow (feat. Becky G),Maria Becerra,2669914,4Yip3hds5IHyT7AqoNHfmX,1,0.744,0.679,5,-3.51,1,0.0791,0.0654,0.00429,0.0966,0.866,176.024,audio_features,4Yip3hds5IHyT7AqoNHfmX,spotify:track:4Yip3hds5IHyT7AqoNHfmX,https://api.spotify.com/v1/tracks/4Yip3hds5IHyT7AqoNHfmX,https://api.spotify.com/v1/audio-analysis/4Yip3hds5IHyT7AqoNHfmX,199773,4
1,Turraka - Remix,Kaleb Di Masi,3206983,2Qv0DF1us4LhzLj0Cx9cSn,1,0.799,0.6,7,-7.474,1,0.332,0.39,0.0,0.0474,0.683,170.22,audio_features,2Qv0DF1us4LhzLj0Cx9cSn,spotify:track:2Qv0DF1us4LhzLj0Cx9cSn,https://api.spotify.com/v1/tracks/2Qv0DF1us4LhzLj0Cx9cSn,https://api.spotify.com/v1/audio-analysis/2Qv0DF1us4LhzLj0Cx9cSn,210353,4
1,Reggaetón Lento (Bailemos),CNCO,1320990,3AEZUABDXNtecAOSC1qTfo,1,0.761,0.838,4,-3.073,0,0.0502,0.4,0.0,0.176,0.71,93.974,audio_features,3AEZUABDXNtecAOSC1qTfo,spotify:track:3AEZUABDXNtecAOSC1qTfo,https://api.spotify.com/v1/tracks/3AEZUABDXNtecAOSC1qTfo,https://api.spotify.com/v1/audio-analysis/3AEZUABDXNtecAOSC1qTfo,222560,4
